id_candidat,SEMESTRE,ANNEE_SEMESTRE,MODULE,NOTE_MODULE
2983,S3,2011/2012,ALGO II,14.25 
2983,S3,2011/2012,PROG I (RENVERSEMENT LANGUE N3 & INFO 3),14.25 
2983,S3,2014/2015,WEB ,12.75
2983,S3,2012/2013,"ELECTRONIQUE ( R ARCHI 11,25 )",11.25 
2983,S3,2012/2013,"PROBA , SYSTEM D'EXPLOITATION RENVERSEMENT 2014/2015",12.95
2983,S4,2011/2012,TEC & INFO,14.31
2983,S4,2012/2013,SYSTEM D'EXPLOITATION ET PROJET,9.31 
2983,S4,2011/2012,ALGO ET STRUCTURES DE DONNEES,17.67
2983,S4,2011/2012,MATHEMATIQUE ,10.5
2983,S4,2014/2015,ELECTOMAGHETIQUE ,7.05
2983,S5,2012/2013,BASE DE DONNEES RENVERSEMENT ,11.13
2983,S5,2014/2015,COMPILATION ,10.75
2983,S5,2014/2015,RESEUX ,14.8
2983,S5,2014/2015,RECHERCHE OPERATIONNELLE,6.65 
2983,S5,2013/2014 ,UML (RENVERSEMENT BD AVANCEES ),13
2983,S5,2014/2015,POO ,12
2983,S6,2013/2014 ,PROG RESEAU : ( RENVERSEMENT IMAGER ET INFOGRAPHIE ) , 13.3
2983,S6,2013/2014,BD2 (RENVERSEMENT BDA 2013/2014 ),13
2983,S6,2014/2015,WEB DYN PHP :,14
2983,S6,2013/2014 ,GESTIO DE PROJET   ( R 2I ),13.3
2983,S6,2014/2015,PROJET TUTORE ,14
3590,S1,,NAN,
3590,S1,2013,ANALYSE(1),7.5
3590,S1,2013, ALGEBRE(1),10.5
3590,S1,2013, MECANIQUE DU POINT,7.5
3590,S1,2013,THERMODYNAMIQUE,13
3590,S1,2013,LANGUE,10.5
3590,S1,2013,INFORMATIQUE,10.8
3590,S2,,NAN,
3590,S2,2013,ANALYSE(2),6.4
3590,S2,2013, ALGEBRE(2),11
3590,S2,2013,PHYSIQUE2,11
3590,S2,2013,OPTIQUE,15.5
3590,S2,2013,LANGUE(2),11.5
3590,S2,2013,INFORMATIQUE(2),12
3590,S3,2014,ARCHITECTURE DES ORDINATEURS,13.7
3590,S3,2014,PROJET EN ASSEMBLEUR,11
3590,S3,2014,MECANIQUE DU SOLIDE,14
3590,S3,2014,ELECTROMAGNITISME,10
3590,S3,2014,ANALYSE(3),14.4
3590,S3,2014,LANGUE(3),8.5
3590,S3,2014,INFORMATIQUE(3),10
3590,S4,,NAN,
3590,S4,2014,PROBABILITE -STATISTIQUE,7.5
3590,S4,2014,METHODES NUMERIQUE,12.1
3590,S4,2014,LANGUE(4),13
3590,S4,2014,INFORMATIQUE(4),15.5
3590,S4,2014,SYTEMES D'EXPLOITATION ET PROJET UNIX,10.65
